version,date,n_classes,n_interfaces,DesignSize,Hierarchies,Abstraction,Encapsulation,Coupling,Cohesion,Composition,Inheritance,Polymorphism,Messaging,Complexity,raw_WMC,raw_CBO,raw_RFC,raw_LCOM,raw_DIT,raw_NOC,raw_NOM,raw_NOA,raw_MPC,raw_DAC
1.0.6,2007-06,446,86,446,28,1.0358744394618835,0.8707853598014887,1.9887892376681615,0.27104649999999997,0.5224215246636771,0.37448340807174885,1.9551569506726458,11.417040358744394,12.867713004484305,34.26457399103139,4.7959641255605385,33.417040358744394,200.19955156950672,2.0358744394618835,0.5448430493273543,12.867713004484305,5.302690582959642,10.159192825112108,0.5224215246636771
1.0.9,2008-01,468,91,468,29,1.0363247863247864,0.8576169811320754,1.9807692307692308,0.26121800947867296,0.5128205128205128,0.3727726495726496,2.0576923076923075,11.846153846153847,13.333333333333334,35.17307692307692,4.75,34.25213675213675,209.35042735042734,2.036324786324786,0.5555555555555556,13.333333333333334,5.4252136752136755,10.275641025641026,0.5128205128205128
1.0.11,2008-09,486,94,486,30,1.02880658436214,0.8566881548974943,2.051440329218107,0.25480615034168563,0.5329218106995884,0.3702195473251029,2.111111111111111,12.248971193415638,13.814814814814815,36.275720164609055,4.829218106995885,35.28395061728395,234.559670781893,2.02880658436214,0.5555555555555556,13.814814814814815,5.48559670781893,10.695473251028806,0.5329218106995884
1.0.13,2009-04,504,103,504,31,1.0119047619047619,0.8567614537444934,2.0357142857142856,0.2557405701754386,0.5317460317460317,0.36615099206349205,2.134920634920635,12.341269841269842,13.948412698412698,37.16468253968254,4.847222222222222,35.61507936507937,253.5376984126984,2.011904761904762,0.5515873015873016,13.948412698412698,5.527777777777778,11.023809523809524,0.5317460317460317
1.0.14,2011-11,510,106,510,30,1.031372549019608,0.8579554112554113,2.0509803921568626,0.2513266811279826,0.5392156862745098,0.36964843137254905,2.1862745098039214,12.494117647058824,14.147058823529411,37.72156862745098,4.8843137254901965,36.0078431372549,265.15098039215684,2.0313725490196077,0.5529411764705883,14.147058823529411,5.578431372549019,11.174509803921568,0.5392156862745098
1.0.16,2013-09,516,106,516,31,1.0310077519379846,0.8582319057815846,2.050387596899225,0.2506640256959315,0.5368217054263565,0.3697910852713178,2.2093023255813953,12.492248062015504,14.213178294573643,36.31201550387597,5.265503875968992,36.74418604651163,268.3856589147287,2.0310077519379846,0.5523255813953488,14.213178294573643,5.563953488372093,12.928294573643411,0.5368217054263565
1.0.19,2014-07,542,108,542,32,0.996309963099631,0.8567821576763486,2.0313653136531364,0.2550332648870637,0.5830258302583026,0.36457084870848705,2.1476014760147604,12.29889298892989,14.027675276752767,35.71771217712177,5.2380073800738005,36.58487084870849,266.4594095940959,1.996309963099631,0.5387453874538746,14.027675276752767,5.4335793357933575,12.915129151291513,0.5830258302583026
1.5.0,2017-11,546,109,546,31,0.9084249084249084,0.8429239583333333,2.1776556776556775,0.2554030425963489,0.7802197802197802,0.33624358974358975,2.087912087912088,11.64102564102564,13.274725274725276,34.73809523809524,6.28021978021978,34.586080586080584,233.1080586080586,1.9084249084249085,0.5054945054945055,13.274725274725276,5.247252747252747,14.595238095238095,0.7802197802197802
1.5.2,2020-12,547,109,547,31,0.9140767824497258,0.8415010373443983,2.1846435100548445,0.2548153846153846,0.7806215722120659,0.33766160877513707,2.0895795246800732,11.648994515539306,13.285191956124315,34.83729433272395,6.292504570383913,34.6636197440585,232.86471663619744,1.9140767824497258,0.506398537477148,13.285191956124315,5.246800731261426,14.645338208409507,0.7806215722120659
1.5.4,2023-01,561,111,561,31,0.9162210338680927,0.8409032520325204,2.1907308377896615,0.25289092702169624,0.8110516934046346,0.33876292335115865,2.336898395721925,11.814616755793226,13.44741532976827,35.01960784313726,6.142602495543672,35.012477718360074,233.6898395721925,1.9162210338680927,0.5080213903743316,13.44741532976827,5.222816399286987,14.06951871657754,0.8110516934046346
1.5.5,2024-06,564,111,564,31,0.9166666666666666,0.8395230769230769,2.1914893617021276,0.2525883858267716,0.8067375886524822,0.33860833333333334,2.3297872340425534,11.76950354609929,13.407801418439716,34.9113475177305,6.129432624113475,34.927304964539005,232.6258865248227,1.9166666666666667,0.5070921985815603,13.407801418439716,5.205673758865248,14.113475177304965,0.8067375886524822
1.5.6,2025-05,564,111,564,31,0.9166666666666666,0.8395230769230769,2.1950354609929077,0.25253326771653545,0.8120567375886525,0.33895886524822694,2.3297872340425534,11.797872340425531,13.436170212765957,35.026595744680854,6.127659574468085,34.955673758865245,236.34929078014184,1.9166666666666667,0.5070921985815603,13.436170212765957,5.207446808510638,14.163120567375886,0.8120567375886525
