version,date,raw_WMC,raw_CBO,raw_RFC,raw_LCOM,raw_DIT,raw_NOC,raw_NOM,raw_NOA,raw_MPC,raw_DAC
1.0.6,2007-06,34.26457399103139,4.7959641255605385,33.417040358744394,200.19955156950672,2.0358744394618835,0.5448430493273543,12.867713004484305,5.302690582959642,10.159192825112108,0.5224215246636771
1.0.9,2008-01,35.17307692307692,4.75,34.25213675213675,209.35042735042734,2.036324786324786,0.5555555555555556,13.333333333333334,5.4252136752136755,10.275641025641026,0.5128205128205128
1.0.11,2008-09,36.275720164609055,4.829218106995885,35.28395061728395,234.559670781893,2.02880658436214,0.5555555555555556,13.814814814814815,5.48559670781893,10.695473251028806,0.5329218106995884
1.0.13,2009-04,37.16468253968254,4.847222222222222,35.61507936507937,253.5376984126984,2.011904761904762,0.5515873015873016,13.948412698412698,5.527777777777778,11.023809523809524,0.5317460317460317
1.0.14,2011-11,37.72156862745098,4.8843137254901965,36.0078431372549,265.15098039215684,2.0313725490196077,0.5529411764705883,14.147058823529411,5.578431372549019,11.174509803921568,0.5392156862745098
1.0.16,2013-09,36.31201550387597,5.265503875968992,36.74418604651163,268.3856589147287,2.0310077519379846,0.5523255813953488,14.213178294573643,5.563953488372093,12.928294573643411,0.5368217054263565
1.0.19,2014-07,35.71771217712177,5.2380073800738005,36.58487084870849,266.4594095940959,1.996309963099631,0.5387453874538746,14.027675276752767,5.4335793357933575,12.915129151291513,0.5830258302583026
1.5.0,2017-11,34.73809523809524,6.28021978021978,34.586080586080584,233.1080586080586,1.9084249084249085,0.5054945054945055,13.274725274725276,5.247252747252747,14.595238095238095,0.7802197802197802
1.5.2,2020-12,34.83729433272395,6.292504570383913,34.6636197440585,232.86471663619744,1.9140767824497258,0.506398537477148,13.285191956124315,5.246800731261426,14.645338208409507,0.7806215722120659
1.5.4,2023-01,35.01960784313726,6.142602495543672,35.012477718360074,233.6898395721925,1.9162210338680927,0.5080213903743316,13.44741532976827,5.222816399286987,14.06951871657754,0.8110516934046346
1.5.5,2024-06,34.9113475177305,6.129432624113475,34.927304964539005,232.6258865248227,1.9166666666666667,0.5070921985815603,13.407801418439716,5.205673758865248,14.113475177304965,0.8067375886524822
1.5.6,2025-05,35.026595744680854,6.127659574468085,34.955673758865245,236.34929078014184,1.9166666666666667,0.5070921985815603,13.436170212765957,5.207446808510638,14.163120567375886,0.8120567375886525
