class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.axis.Axis,class,1,40,64,56,0.625,136,117,8,6,17,1,1,1800,0.0461,1,2,0,0.0,4,4
org.jfree.chart.axis.AxisCollection,class,0,4,5,5,1.0,12,6,1,1,0,0,0,2,0.2,1,0,0,0.0,0,0
org.jfree.chart.axis.AxisLocation,class,0,6,5,4,0.3333,18,8,0,0,0,0,0,8,0.2,1,0,0,0.0,0,0
org.jfree.chart.axis.AxisSpace,class,0,5,18,18,1.0,44,29,0,0,0,0,0,0,0.1556,1,0,0,0.0,0,0
org.jfree.chart.axis.AxisState,class,0,3,11,11,1.0,17,15,0,0,0,0,0,35,0.2727,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryAnchor,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryAxis,class,0,13,49,37,0.8462,151,160,15,8,54,1,1,1036,0.0808,2,3,1,0.5333,8,8
org.jfree.chart.axis.CategoryAxis3D,class,0,1,3,3,1.0,21,24,7,2,11,0,0,3,0.4286,3,0,2,0.9712,3,3
org.jfree.chart.axis.CategoryLabelPosition,class,0,7,8,8,1.0,24,10,1,1,0,1,1,8,0.125,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryLabelPositions,class,0,10,9,9,0.5,33,12,1,1,0,4,4,30,0.2667,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryLabelWidthType,class,0,4,3,2,0.5,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryTick,class,0,3,5,5,1.0,12,8,1,0,0,0,0,0,0.2,2,0,1,0.5455,1,1
org.jfree.chart.axis.ColorBar,class,0,10,16,15,0.7,40,60,8,5,5,2,2,0,0.1313,1,0,0,0.0,0,0
org.jfree.chart.axis.CompassFormat,class,0,5,4,4,0.8,6,7,0,0,0,0,0,6,0.375,1,0,0,0.0,0,0
org.jfree.chart.axis.CyclicNumberAxis,class,0,11,30,22,0.7273,139,95,10,6,30,1,1,283,0.1133,4,0,3,0.8225,14,14
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,class,0,1,0,0,0.0,1,0,1,0,0,0,0,0,,4,0,3,1.0,0,0
org.jfree.chart.axis.DateAxis,class,0,12,47,35,0.6667,171,154,19,8,91,6,6,947,0.0804,3,0,2,0.7134,13,13
org.jfree.chart.axis.DateAxis.DefaultTimeline,class,0,0,8,8,,11,9,1,0,0,0,0,28,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.DateTick,class,0,1,3,3,1.0,8,7,2,1,0,0,0,0,0.3333,3,0,2,0.7273,1,1
org.jfree.chart.axis.DateTickMarkPosition,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.DateTickUnit,class,0,15,22,18,0.5333,61,40,2,1,14,2,2,169,0.0909,2,0,1,0.12,3,3
org.jfree.chart.axis.DateTickUnitType,class,0,9,4,3,0.2222,15,6,0,0,0,0,0,4,0.25,1,0,0,0.0,0,0
org.jfree.chart.axis.ExtendedCategoryAxis,class,0,4,10,7,0.75,24,24,2,0,0,0,0,0,0.11,3,0,2,0.9083,5,5
org.jfree.chart.axis.LogAxis,class,0,5,31,22,1.0,82,112,13,4,46,1,1,381,0.1317,3,0,2,0.7947,9,9
org.jfree.chart.axis.LogarithmicAxis,class,0,10,27,18,0.8,151,69,6,1,11,0,0,241,0.1728,4,0,3,0.8439,7,7
org.jfree.chart.axis.MarkerAxisBand,class,0,8,6,5,1.0,18,43,2,2,6,1,1,0,0.2381,1,0,0,0.0,0,0
org.jfree.chart.axis.ModuloAxis,class,0,3,16,9,1.0,40,41,3,1,0,1,1,0,0.3594,4,0,3,0.9012,7,7
org.jfree.chart.axis.MonthDateFormat,class,0,3,4,4,1.0,21,18,1,0,0,0,0,4,0.2917,1,0,0,0.0,0,0
org.jfree.chart.axis.NumberAxis,class,0,11,36,25,0.6364,111,116,15,6,209,4,4,592,0.0873,3,5,2,0.7707,8,8
org.jfree.chart.axis.NumberAxis3D,class,0,1,1,1,1.0,10,15,7,1,4,0,0,0,1.0,4,0,3,0.9935,1,1
org.jfree.chart.axis.NumberTick,class,0,1,1,1,1.0,3,2,2,1,0,0,0,0,,3,1,2,0.9,0,0
org.jfree.chart.axis.NumberTickUnit,class,0,2,4,4,1.0,14,10,1,0,0,0,0,0,0.25,2,0,1,0.4286,3,3
org.jfree.chart.axis.PeriodAxis,class,0,15,43,35,1.0,129,136,12,7,42,3,3,625,0.0586,3,0,2,0.7208,18,18
org.jfree.chart.axis.PeriodAxisLabelInfo,class,0,14,15,13,0.6429,35,28,1,0,0,0,0,59,0.0889,1,0,0,0.0,0,0
org.jfree.chart.axis.QuarterDateFormat,class,0,6,3,3,0.5,13,9,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.SegmentedTimeline,class,0,21,44,41,0.6667,93,88,4,1,41,0,0,832,0.0909,1,0,0,0.0,0,0
org.jfree.chart.axis.SegmentedTimeline.Segment,class,0,4,27,26,1.0,44,42,0,0,0,0,0,175,0.1481,1,1,0,0.0,0,0
org.jfree.chart.axis.SegmentedTimeline.SegmentRange,class,0,1,5,5,1.0,11,14,1,0,2,0,0,10,0.4,2,1,1,0.8077,5,5
org.jfree.chart.axis.SegmentedTimeline.BaseTimelineSegmentRange,class,0,0,0,0,,1,0,1,0,0,0,0,0,,3,0,2,1.0,0,0
org.jfree.chart.axis.StandardTickUnitSource,class,0,1,5,5,1.0,7,10,3,1,1,0,0,8,0.2667,1,0,0,0.0,0,0
org.jfree.chart.axis.SubCategoryAxis,class,0,4,12,8,1.0,43,56,8,4,12,0,0,12,0.1369,3,0,2,0.8919,5,5
org.jfree.chart.axis.SymbolAxis,class,0,7,20,11,0.7143,74,82,9,2,5,0,0,102,0.1542,4,0,3,0.878,9,9
org.jfree.chart.axis.Tick,class,1,5,7,7,1.0,16,9,0,0,0,0,0,9,0.1429,1,2,0,0.0,0,0
org.jfree.chart.axis.TickType,class,0,3,3,2,0.3333,9,4,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.axis.TickUnit,class,1,3,6,6,1.0,16,9,0,0,0,0,0,1,0.25,1,2,0,0.0,0,0
org.jfree.chart.axis.TickUnitSource,interface,0,0,3,3,,3,3,1,1,0,0,0,3,0.5,1,0,0,0.0,0,0
org.jfree.chart.axis.TickUnits,class,0,2,8,8,1.0,14,18,3,1,0,0,0,0,0.1875,1,0,0,0.0,0,0
org.jfree.chart.axis.Timeline,interface,0,0,7,0,,7,7,0,0,0,0,0,21,0.5,1,0,0,0.0,0,0
org.jfree.chart.axis.ValueAxis,class,1,30,71,60,0.6667,171,165,9,5,27,4,4,2227,0.0669,2,4,1,0.4496,9,9
org.jfree.chart.axis.ValueTick,class,1,2,3,3,1.0,9,4,2,1,0,1,1,0,0.3333,2,2,1,0.6667,1,1
org.jfree.chart.block.AbstractBlock,class,0,8,38,25,1.0,62,70,4,4,16,1,1,487,0.0636,1,6,0,0.0,0,0
org.jfree.chart.block.Arrangement,interface,0,0,3,3,,3,3,3,3,0,0,0,3,0.3333,1,0,0,0.0,0,0
org.jfree.chart.block.Block,interface,0,0,7,7,,7,7,1,1,0,0,0,21,0.2286,1,0,0,0.0,0,0
org.jfree.chart.block.BlockBorder,class,0,4,6,4,0.75,21,23,1,0,0,0,0,0,0.1667,1,0,0,0.0,0,0
org.jfree.chart.block.BlockContainer,class,0,3,12,12,1.0,27,36,10,3,6,1,1,22,0.1667,2,1,1,0.7333,3,3
org.jfree.chart.block.BlockFrame,interface,0,0,2,2,,2,2,0,0,0,0,0,1,0.5,1,0,0,0.0,0,0
