class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.ChartColor,class,0,24,1,1,0.0,2,1,0,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartFactory,class,1,1,54,54,1.0,146,132,79,15,231,1,1,1429,0.1598,1,0,0,0.0,0,0
org.jfree.chart.ChartFrame,class,0,1,1,1,1.0,4,3,2,2,0,1,1,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartHints,class,0,2,0,0,0.0,1,0,1,1,0,2,2,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartHints.Key,class,0,0,1,1,,8,2,0,0,0,0,0,0,1.0,1,0,0,0.0,1,0
org.jfree.chart.ChartMouseEvent,class,0,4,3,3,1.0,4,3,2,2,0,2,2,3,,1,0,0,0.0,0,0
org.jfree.chart.ChartMouseListener,interface,0,0,2,0,,2,2,1,1,0,0,0,1,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartPanel,class,0,82,115,95,0.7439,338,303,25,9,79,5,5,5353,0.0297,1,1,0,0.0,16,0
org.jfree.chart.ChartRenderingInfo,class,0,4,10,8,1.0,20,18,6,2,6,2,2,0,0.1,1,0,0,0.0,2,0
org.jfree.chart.ChartTheme,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartTransferable,class,0,8,4,3,0.875,14,12,1,1,2,1,1,0,0.3333,1,0,0,0.0,3,0
org.jfree.chart.ChartUtils,class,1,0,27,27,,31,52,11,4,35,0,0,351,0.2901,1,0,0,0.0,0,0
org.jfree.chart.HashUtils,class,0,0,13,13,,34,24,3,3,12,0,0,78,0.1608,1,0,0,0.0,0,0
org.jfree.chart.JFreeChart,class,0,24,70,64,0.75,159,155,34,16,60,4,4,2063,0.03,1,0,0,0.0,5,0
org.jfree.chart.LegendItem,class,0,26,47,44,1.0,82,67,10,2,52,2,2,901,0.035,1,0,0,0.0,2,0
org.jfree.chart.LegendItemCollection,class,0,2,7,7,1.0,11,15,2,1,1,0,0,0,0.1429,1,0,0,0.0,2,0
org.jfree.chart.LegendItemSource,interface,0,0,1,1,,1,1,1,0,0,0,0,0,,1,2,0,0.0,0,0
org.jfree.chart.LegendRenderingOrder,class,0,4,3,2,0.5,9,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.MouseWheelHandler,class,0,2,4,3,0.5,12,22,7,2,11,1,1,2,0.3333,1,0,0,0.0,1,0
org.jfree.chart.PaintMap,class,0,2,8,6,0.5,16,30,3,0,5,0,0,0,0.175,1,0,0,0.0,2,0
org.jfree.chart.PolarChartPanel,class,0,3,5,2,1.0,19,29,4,1,4,0,0,8,0.24,2,0,1,0.9573,3,3
org.jfree.chart.StandardChartTheme,class,0,32,90,67,1.0,198,204,51,28,222,6,6,3147,0.0185,1,0,0,0.0,3,0
org.jfree.chart.StrokeMap,class,0,2,8,6,0.5,16,30,3,0,5,0,0,0,0.175,1,0,0,0.0,2,0
org.jfree.chart.annotations.AbstractAnnotation,class,1,2,10,6,1.0,15,20,3,2,0,0,0,19,0.1167,1,3,0,0.0,3,0
org.jfree.chart.annotations.AbstractXYAnnotation,class,1,2,8,7,1.0,17,13,8,3,4,0,0,12,0.1806,2,9,1,0.5556,3,1
org.jfree.chart.annotations.Annotation,interface,0,0,2,2,,2,2,1,1,0,0,0,1,1.0,1,2,0,0.0,0,0
org.jfree.chart.annotations.CategoryAnnotation,interface,0,0,1,1,,1,1,4,3,0,0,0,0,1.0,2,0,1,0.6667,0,0
org.jfree.chart.annotations.CategoryLineAnnotation,class,0,7,18,16,0.8571,29,49,15,3,32,0,0,57,0.0648,2,0,1,0.28,6,3
org.jfree.chart.annotations.CategoryPointerAnnotation,class,0,14,22,20,0.6429,35,63,14,3,19,0,0,91,0.0661,4,0,3,0.5319,6,6
org.jfree.chart.annotations.CategoryTextAnnotation,class,0,4,10,10,1.0,19,38,13,4,16,1,1,13,0.1,3,1,2,0.6774,4,3
org.jfree.chart.annotations.TextAnnotation,class,0,12,16,14,0.5833,25,32,7,1,14,4,4,62,0.0703,2,1,1,0.3333,4,2
org.jfree.chart.annotations.XYAnnotation,interface,0,0,1,1,,1,1,4,3,0,0,0,0,1.0,2,0,1,0.6667,0,0
org.jfree.chart.annotations.XYAnnotationBoundsInfo,interface,0,0,3,3,,3,3,1,0,0,0,0,3,,1,0,0,0.0,0,0
org.jfree.chart.annotations.XYBoxAnnotation,class,0,8,6,4,1.0,24,29,11,3,18,0,0,0,0.1667,3,0,2,0.6667,6,6
org.jfree.chart.annotations.XYDataImageAnnotation,class,0,6,14,12,1.0,29,33,13,3,11,0,0,45,0.0714,3,0,2,0.4615,9,6
org.jfree.chart.annotations.XYDrawableAnnotation,class,0,7,4,4,1.0,17,23,11,4,9,1,1,0,0.25,3,0,2,0.7778,4,4
org.jfree.chart.annotations.XYImageAnnotation,class,0,5,10,8,1.0,23,32,12,4,10,1,1,21,0.1,3,0,2,0.5455,6,6
org.jfree.chart.annotations.XYLineAnnotation,class,0,7,6,4,1.0,22,31,14,3,23,0,0,0,0.1667,3,0,2,0.6667,6,6
org.jfree.chart.annotations.XYPointerAnnotation,class,0,14,22,20,0.6429,38,69,13,3,17,0,0,91,0.0644,4,0,3,0.6207,6,6
org.jfree.chart.annotations.XYPolygonAnnotation,class,0,5,10,8,1.0,30,39,13,3,24,0,0,0,0.1,3,0,2,0.5455,6,6
org.jfree.chart.annotations.XYShapeAnnotation,class,0,5,6,4,1.0,22,39,13,3,23,0,0,0,0.1667,3,0,2,0.6667,6,6
org.jfree.chart.annotations.XYTextAnnotation,class,0,18,30,28,0.7222,50,66,14,4,29,4,4,297,0.0437,3,1,2,0.2857,6,6
org.jfree.chart.annotations.XYTitleAnnotation,class,0,8,13,13,1.0,37,43,20,6,29,3,3,14,0.0865,3,0,2,0.5185,4,4
org.jfree.chart.axis.Axis,class,1,42,76,63,0.6429,159,149,18,9,110,6,6,2570,0.0441,1,2,0,0.0,7,4
org.jfree.chart.axis.AxisCollection,class,0,4,5,5,1.0,10,7,3,2,2,0,0,2,0.2,1,0,0,0.0,0,0
org.jfree.chart.axis.AxisLabelLocation,class,0,5,4,3,0.4,11,7,0,0,0,0,0,0,0.25,1,0,0,0.0,3,0
org.jfree.chart.axis.AxisLocation,class,0,6,6,5,0.3333,18,11,1,0,1,0,0,9,0.1667,1,0,0,0.0,3,0
org.jfree.chart.axis.AxisSpace,class,0,5,18,18,1.0,43,30,3,1,1,0,0,0,0.1556,1,0,0,0.0,4,0
org.jfree.chart.axis.AxisState,class,0,3,11,11,1.0,17,15,1,1,0,0,0,35,0.2727,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryAnchor,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryAxis,class,0,14,52,41,0.8571,147,169,25,10,99,1,1,1166,0.0753,2,2,1,0.5593,9,9
org.jfree.chart.axis.CategoryLabelPosition,class,0,7,8,8,1.0,20,11,5,4,4,4,4,8,0.125,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryLabelPositions,class,0,10,9,9,0.5,21,13,3,2,12,4,4,30,0.2667,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryLabelWidthType,class,0,4,3,2,0.5,9,6,1,0,1,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryTick,class,0,3,5,5,1.0,12,8,5,3,3,2,2,0,0.2,2,0,1,0.5455,2,1
org.jfree.chart.axis.CompassFormat,class,0,1,4,4,0.0,9,8,1,0,1,0,0,6,0.375,1,0,0,0.0,3,0
org.jfree.chart.axis.CyclicNumberAxis,class,0,11,30,22,0.7273,137,96,17,7,45,1,1,283,0.1133,4,0,3,0.8324,14,14
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,class,0,1,0,0,0.0,1,0,2,1,0,0,0,0,,4,0,3,1.0,0,0
org.jfree.chart.axis.DateAxis,class,0,11,48,36,0.7273,159,157,24,9,132,5,5,972,0.0787,3,0,2,0.7257,14,14
org.jfree.chart.axis.DateAxis.DefaultTimeline,class,0,0,8,8,,11,9,1,0,0,0,0,28,0.3333,1,0,0,0.0,8,0
org.jfree.chart.axis.DateTick,class,0,1,3,3,1.0,8,8,5,2,2,0,0,0,0.3333,3,0,2,0.7273,2,1
org.jfree.chart.axis.DateTickMarkPosition,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.DateTickUnit,class,0,6,14,13,1.0,32,29,4,1,9,2,2,43,0.119,2,0,1,0.1765,4,3
org.jfree.chart.axis.DateTickUnitType,class,0,9,4,3,0.2222,15,6,0,0,0,0,0,4,0.25,1,0,0,0.0,2,0
