class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.ChartColor,class,0,24,4,4,0.0,7,9,0,0,0,0,0,6,0.5,1,0,0,0.0,0,0
org.jfree.chart.ChartFactory,class,1,1,54,54,1.0,146,132,79,15,231,1,1,1429,0.1598,1,0,0,0.0,0,0
org.jfree.chart.ChartFrame,class,0,1,1,1,1.0,4,3,2,2,0,1,1,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartHints,class,0,2,0,0,0.0,1,0,1,1,0,2,2,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartHints.Key,class,0,0,1,1,,8,2,0,0,0,0,0,0,1.0,1,0,0,0.0,1,0
org.jfree.chart.ChartMouseEvent,class,0,4,3,3,1.0,4,3,2,2,0,2,2,3,,1,0,0,0.0,0,0
org.jfree.chart.ChartMouseListener,interface,0,0,2,0,,2,2,1,1,0,0,0,1,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartPanel,class,0,80,116,95,0.7375,321,306,25,9,79,5,5,5412,0.0285,1,2,0,0.0,16,0
org.jfree.chart.ChartRenderingInfo,class,0,4,11,9,1.0,21,20,5,2,3,2,2,0,0.0909,1,0,0,0.0,3,0
org.jfree.chart.ChartTheme,interface,0,0,1,0,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartTransferable,class,0,8,4,3,0.875,14,12,1,1,2,1,1,0,0.3333,1,0,0,0.0,3,0
org.jfree.chart.ChartUtils,class,1,0,27,27,,31,52,11,4,35,0,0,351,0.2901,1,0,0,0.0,0,0
org.jfree.chart.HashUtils,class,0,0,13,13,,34,24,3,3,12,0,0,78,0.1608,1,0,0,0.0,0,0
org.jfree.chart.JFreeChart,class,0,24,71,65,0.75,165,159,34,16,57,4,4,2039,0.0296,1,0,0,0.0,6,0
org.jfree.chart.LegendItem,class,0,26,48,45,1.0,92,70,10,2,53,2,2,848,0.0342,1,0,0,0.0,3,0
org.jfree.chart.LegendItemCollection,class,0,2,8,8,1.0,12,17,2,1,1,0,0,0,0.125,1,0,0,0.0,3,0
org.jfree.chart.LegendItemSource,interface,0,0,1,0,,1,1,1,0,0,0,0,0,,1,2,0,0.0,0,0
org.jfree.chart.LegendRenderingOrder,class,0,4,3,2,0.5,9,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.MouseWheelHandler,class,0,2,4,3,0.5,12,22,7,2,11,1,1,2,0.3333,1,0,0,0.0,1,0
org.jfree.chart.OfflineRenderingChartPanel,class,0,5,6,1,1.0,22,41,6,4,18,2,2,15,0.2381,2,0,1,0.9504,2,1
org.jfree.chart.OfflineRenderingChartPanel.State,enum,0,0,2,0,,2,2,2,2,0,0,0,1,1.0,1,0,0,0.0,2,2
org.jfree.chart.OfflineRenderingChartPanel.OfflineChartRenderer,class,0,5,2,0,1.0,5,10,2,2,0,2,2,1,,1,0,0,0.0,2,0
org.jfree.chart.PaintMap,class,0,2,8,6,0.5,16,30,3,0,5,0,0,0,0.175,1,0,0,0.0,2,0
org.jfree.chart.PolarChartPanel,class,0,3,5,2,1.0,19,29,4,1,4,0,0,8,0.24,2,0,1,0.9576,3,3
org.jfree.chart.StandardChartTheme,class,0,32,91,68,1.0,202,211,52,28,240,6,6,3067,0.0183,1,0,0,0.0,4,0
org.jfree.chart.StrokeMap,class,0,2,8,6,0.5,16,30,2,0,4,0,0,0,0.175,1,0,0,0.0,2,0
org.jfree.chart.annotations.AbstractAnnotation,class,1,2,13,9,1.0,23,24,3,2,0,0,0,38,0.0989,1,3,0,0.0,5,0
org.jfree.chart.annotations.AbstractXYAnnotation,class,1,2,9,8,1.0,17,15,7,3,2,0,0,20,0.1728,2,10,1,0.5263,4,4
org.jfree.chart.annotations.Annotation,interface,0,0,2,0,,2,2,1,1,0,0,0,1,1.0,1,2,0,0.0,0,0
org.jfree.chart.annotations.CategoryAnnotation,interface,0,0,1,0,,1,1,4,3,0,0,0,0,1.0,2,0,1,0.6667,0,0
org.jfree.chart.annotations.CategoryLineAnnotation,class,0,7,19,17,0.8571,31,48,14,3,35,0,0,75,0.0658,2,0,1,0.2692,7,6
org.jfree.chart.annotations.CategoryPointerAnnotation,class,0,14,23,21,0.6429,36,65,14,3,19,0,0,113,0.0672,4,0,3,0.5208,7,7
org.jfree.chart.annotations.CategoryTextAnnotation,class,0,4,11,11,1.0,20,37,13,4,16,1,1,23,0.101,3,1,2,0.6562,5,4
org.jfree.chart.annotations.TextAnnotation,class,0,12,17,15,0.5833,27,34,6,1,10,4,4,78,0.0735,2,1,1,0.32,5,5
org.jfree.chart.annotations.XYAnnotation,interface,0,0,1,0,,1,1,4,3,0,0,0,0,1.0,2,0,1,0.6667,0,0
org.jfree.chart.annotations.XYAnnotationBoundsInfo,interface,0,0,3,0,,3,3,1,0,0,0,0,3,,1,0,0,0.0,0,0
org.jfree.chart.annotations.XYBoxAnnotation,class,0,8,14,12,1.0,32,41,12,3,23,0,0,17,0.0794,3,0,2,0.4615,7,7
org.jfree.chart.annotations.XYDataImageAnnotation,class,0,6,15,13,1.0,31,35,12,3,10,0,0,45,0.0741,3,0,2,0.4444,10,7
org.jfree.chart.annotations.XYDataRangeAnnotation,class,0,3,6,6,1.0,18,9,6,4,4,2,2,5,0.1667,3,0,2,0.7273,6,3
org.jfree.chart.annotations.XYDrawableAnnotation,class,0,7,10,10,1.0,23,31,10,4,13,1,1,9,0.1143,3,0,2,0.5833,5,5
org.jfree.chart.annotations.XYImageAnnotation,class,0,5,11,9,1.0,24,35,11,4,11,1,1,25,0.101,3,0,2,0.5217,7,7
org.jfree.chart.annotations.XYInversePointerAnnotation,class,0,3,6,6,0.6667,18,55,10,3,11,0,0,3,0.1667,5,0,4,0.9016,4,4
org.jfree.chart.annotations.XYLineAnnotation,class,0,7,13,11,1.0,29,42,14,3,27,0,0,14,0.0855,3,0,2,0.48,7,7
org.jfree.chart.annotations.XYNoteAnnotation,class,0,13,18,16,0.5385,32,65,12,3,16,0,0,41,0.0694,4,0,3,0.6727,6,6
org.jfree.chart.annotations.XYPointerAnnotation,class,0,14,23,21,0.6429,40,72,13,3,20,0,0,113,0.0652,4,1,3,0.6102,7,7
org.jfree.chart.annotations.XYPolygonAnnotation,class,0,5,11,9,1.0,30,40,12,3,22,0,0,0,0.101,3,0,2,0.5217,7,7
org.jfree.chart.annotations.XYShapeAnnotation,class,0,5,6,4,1.0,22,39,12,3,22,0,0,0,0.1667,3,0,2,0.6842,6,6
org.jfree.chart.annotations.XYTextAnnotation,class,0,18,31,29,0.7222,53,69,14,4,35,4,4,307,0.0444,3,2,2,0.2791,7,7
org.jfree.chart.annotations.XYTitleAnnotation,class,0,8,14,14,1.0,39,45,18,6,21,3,3,27,0.0893,3,0,2,0.5,5,5
org.jfree.chart.axis.Axis,class,1,42,76,63,0.6429,159,149,18,9,110,6,6,2570,0.0441,1,2,0,0.0,7,4
org.jfree.chart.axis.AxisCollection,class,0,4,5,5,1.0,10,7,3,2,2,0,0,2,0.2,1,0,0,0.0,0,0
org.jfree.chart.axis.AxisLabelLocation,class,0,5,4,3,0.4,11,7,0,0,0,0,0,0,0.25,1,0,0,0.0,3,0
org.jfree.chart.axis.AxisLocation,class,0,6,6,5,0.3333,18,11,1,0,1,0,0,9,0.1667,1,0,0,0.0,3,0
org.jfree.chart.axis.AxisSpace,class,0,5,18,18,1.0,43,30,3,1,1,0,0,0,0.1556,1,0,0,0.0,4,0
org.jfree.chart.axis.AxisState,class,0,3,11,11,1.0,17,15,1,1,0,0,0,35,0.2727,1,0,0,0.0,0,0
org.jfree.chart.axis.CategoryAnchor,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryAxis,class,0,14,52,41,0.8571,147,169,24,10,95,1,1,1166,0.0753,2,2,1,0.5593,9,9
org.jfree.chart.axis.CategoryLabelPosition,class,0,7,8,8,1.0,20,13,5,4,4,4,4,2,0.125,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryLabelPositions,class,0,10,9,9,0.5,21,13,3,2,12,4,4,30,0.2667,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryLabelWidthType,class,0,4,3,2,0.5,9,6,1,0,1,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.CategoryTick,class,0,3,6,6,1.0,13,9,4,3,0,2,2,1,0.3333,2,0,1,0.5,3,3
org.jfree.chart.axis.CompassFormat,class,0,1,4,4,0.0,9,8,1,0,1,0,0,6,0.375,1,0,0,0.0,3,0
org.jfree.chart.axis.CyclicNumberAxis,class,0,11,30,22,0.7273,137,96,16,7,44,1,1,283,0.1133,4,0,3,0.8324,14,14
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,class,0,1,0,0,0.0,1,0,2,1,0,0,0,0,,4,0,3,1.0,0,0
org.jfree.chart.axis.DateAxis,class,0,11,48,36,0.7273,159,156,23,9,126,5,5,972,0.0787,3,0,2,0.7257,14,14
org.jfree.chart.axis.DateAxis.DefaultTimeline,class,0,0,8,8,,11,9,1,0,0,0,0,28,0.3333,1,0,0,0.0,8,0
org.jfree.chart.axis.DateTick,class,0,1,3,3,1.0,8,7,4,2,1,0,0,0,0.3333,3,0,2,0.75,2,2
org.jfree.chart.axis.DateTickMarkPosition,class,0,5,3,2,0.4,10,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.DateTickUnit,class,0,6,14,13,1.0,32,28,3,1,8,2,2,43,0.119,2,0,1,0.1765,4,3
org.jfree.chart.axis.DateTickUnitType,class,0,9,4,3,0.2222,15,6,0,0,0,0,0,4,0.25,1,0,0,0.0,2,0
org.jfree.chart.axis.ExtendedCategoryAxis,class,0,4,10,7,0.75,22,25,9,1,8,0,0,0,0.11,3,0,2,0.918,5,5
org.jfree.chart.axis.LogAxis,class,0,7,38,28,1.0,101,127,16,5,50,1,1,541,0.1093,3,0,2,0.7697,13,13
org.jfree.chart.axis.LogTick,class,0,1,1,1,0.0,2,1,3,2,0,0,0,0,,3,0,2,0.9167,0,0
org.jfree.chart.axis.LogarithmicAxis,class,0,10,27,18,0.8,151,69,8,2,15,0,0,241,0.1728,4,0,3,0.8525,7,7
org.jfree.chart.axis.MarkerAxisBand,class,0,8,6,5,1.0,18,43,3,2,7,1,1,0,0.2381,1,0,0,0.0,2,0
org.jfree.chart.axis.ModuloAxis,class,0,3,16,9,1.0,40,41,4,2,7,1,1,0,0.3594,4,0,3,0.907,7,7
org.jfree.chart.axis.MonthDateFormat,class,0,3,3,3,1.0,19,15,1,0,1,0,0,1,0.3333,1,0,0,0.0,3,0
org.jfree.chart.axis.NumberAxis,class,0,11,36,25,0.6364,113,119,19,7,46,4,4,592,0.0873,3,4,2,0.7844,9,9
org.jfree.chart.axis.NumberTick,class,0,1,1,1,1.0,3,2,3,2,0,0,0,0,,3,1,2,0.9167,0,0
org.jfree.chart.axis.NumberTickUnit,class,0,2,4,4,1.0,12,11,2,0,2,0,0,0,0.25,2,0,1,0.4286,4,3
org.jfree.chart.axis.NumberTickUnitSource,class,0,10,9,4,1.0,42,22,3,1,2,0,0,0,0.1481,1,0,0,0.0,4,0
org.jfree.chart.axis.PeriodAxis,class,0,15,43,35,1.0,118,142,17,8,68,3,3,625,0.0586,3,0,2,0.7378,19,19
org.jfree.chart.axis.PeriodAxisLabelInfo,class,0,14,14,12,0.6429,27,26,4,1,13,2,2,45,0.0714,1,0,0,0.0,3,0
org.jfree.chart.axis.QuarterDateFormat,class,0,6,3,3,0.5,12,10,1,0,1,0,0,1,0.3333,1,0,0,0.0,3,0
org.jfree.chart.axis.StandardTickUnitSource,class,0,1,5,5,1.0,7,10,3,1,1,0,0,8,0.2667,1,0,0,0.0,5,0
org.jfree.chart.axis.SubCategoryAxis,class,0,4,13,9,1.0,41,61,12,5,26,0,0,24,0.1264,3,0,2,0.8952,6,6
org.jfree.chart.axis.SymbolAxis,class,0,7,20,11,0.7143,72,82,14,3,19,0,0,102,0.1542,4,0,3,0.8851,9,9
org.jfree.chart.axis.Tick,class,1,5,9,9,1.0,17,15,2,1,2,2,2,12,0.2222,1,2,0,0.0,4,0
org.jfree.chart.axis.TickType,class,0,3,3,2,0.3333,9,4,0,0,0,0,0,1,0.3333,1,0,0,0.0,2,0
org.jfree.chart.axis.TickUnit,class,1,3,6,6,1.0,16,9,0,0,0,0,0,1,0.25,1,2,0,0.0,3,0
org.jfree.chart.axis.TickUnitSource,interface,0,0,3,0,,3,3,1,1,0,0,0,3,0.5,1,0,0,0.0,0,0
org.jfree.chart.axis.TickUnits,class,0,2,8,8,1.0,14,18,3,1,0,0,0,0,0.1875,1,0,0,0.0,5,0
org.jfree.chart.axis.Timeline,interface,0,0,7,0,,7,7,0,0,0,0,0,21,0.5,1,0,0,0.0,0,0
org.jfree.chart.axis.ValueAxis,class,1,28,71,60,0.7143,177,168,16,6,81,4,4,2227,0.0669,2,4,1,0.4929,9,9
org.jfree.chart.axis.ValueTick,class,1,2,3,3,1.0,9,4,3,2,0,1,1,0,0.3333,2,3,1,0.7273,1,1
org.jfree.chart.block.AbstractBlock,class,0,8,38,25,1.0,57,73,10,4,25,3,3,467,0.0694,1,6,0,0.0,3,0
org.jfree.chart.block.Arrangement,interface,0,0,3,0,,3,3,4,3,0,0,0,3,0.3333,1,0,0,0.0,0,0
org.jfree.chart.block.Block,interface,0,0,7,0,,7,7,3,1,0,0,0,21,0.2286,2,0,1,0.125,0,0
org.jfree.chart.block.BlockBorder,class,0,4,7,5,0.75,20,27,6,1,6,1,1,0,0.1429,1,0,0,0.0,4,0
